============================================================
 DeadZone Device Image Audit Report
 Generated: 2026-06-29T19:43:18.843Z
============================================================

--- Summary ---
total supported device records: 172
source entries: 215
unique codenames: 172
duplicate codenames: 0
duplicate codenames merged: 9
verified image count: 138
placeholder count: 34
broken image files: 0
unused image files: 26
devices without codename: 0
missing mapped image files: 0

--- Per-Device Detail ---
codename | name | aliases | category | image path | status
selene | Redmi 10 | Redmi 10 Prime | Redmi | /devices/selene.webp | verified
light | Redmi 10 5G | POCO M4 5G | Redmi | /devices/light.webp | verified
fog | Redmi 10C | Redmi 10 Power | Redmi | /devices/fog.webp | verified
dandelion | Redmi 10A |  | Redmi | /devices/dandelion.webp | verified
klee | POCO X8 Pro | Redmi Turbo 5 | POCO | /devices/klee.webp | verified
dash | POCO X8 Pro Max | Redmi Turbo 5 Max | POCO | /devices/dash.webp | verified
moonstone | POCO X5 5G |  | POCO | /devices/moonstone.webp | verified
vayu | POCO X3 Pro |  | POCO | /devices/vayu.webp | verified
bhima | POCO X3 Pro variant |  | POCO | /devices/bhima.webp | verified
surya | POCO X3 | POCO X3 NFC | POCO | /devices/surya.webp | verified
rock | POCO M5 |  | POCO | /devices/rock.webp | verified
evergreen | POCO M4 Pro 5G |  | POCO | /devices/evergreen.webp | verified
citrus | POCO M3 |  | POCO | /devices/citrus.webp | verified
arctic | POCO C81 | Redmi A7 Pro | POCO | public/devices/arctic.webp | missing
warm | POCO C75 5G | Redmi A4 5G | POCO | public/devices/warm.webp | missing
serenity | POCO C71 | Redmi A5 | POCO | public/devices/serenity.webp | missing
blue | POCO C61 | Redmi A3 | POCO | /devices/blue.webp | verified
water | POCO C51 | Redmi A2+ | POCO | /devices/water.webp | verified
ice | POCO C50 | Redmi A1+ | POCO | /devices/ice.webp | verified
piano | Xiaomi Pad 8 Pro |  | Pad | /devices/piano.webp | verified
yupei | Xiaomi Pad 8 |  | Pad | /devices/yupei.webp | verified
jinghu | Xiaomi Pad 7 Ultra |  | Pad | public/devices/jinghu.webp | missing
violin | Xiaomi Pad 7S Pro 12.5 |  | Pad | /devices/violin.webp | verified
muyu | Xiaomi Pad 7 Pro |  | Pad | /devices/muyu.webp | verified
uke | Xiaomi Pad 7 |  | Pad | /devices/uke.webp | verified
sheng | Xiaomi Pad 6S Pro 12.4 |  | Pad | /devices/sheng.webp | verified
yudi | Xiaomi Pad 6 Max |  | Pad | /devices/yudi.webp | verified
liuqin | Xiaomi Pad 6 Pro |  | Pad | /devices/liuqin.webp | verified
pipa | Xiaomi Pad 6 |  | Pad | /devices/pipa.webp | verified
nabu | Xiaomi Pad 5 |  | Pad | /devices/nabu.webp | verified
enuma | Xiaomi Pad 5 Pro 5G |  | Pad | public/devices/enuma.webp | missing
elish | Xiaomi Pad 5 Pro Wi-Fi |  | Pad | public/devices/elish.webp | missing
dagu | Xiaomi Pad 5 Pro 12.4 |  | Pad | public/devices/dagu.webp | missing
turner | Redmi K Pad |  | Pad | /devices/turner.webp | verified
yili | Redmi K Pad 2 |  | Pad | public/devices/yili.webp | missing
taiko | Redmi Pad 2 |  | Pad | public/devices/taiko.webp | missing
koto | Redmi Pad 2 4G |  | Pad | public/devices/koto.webp | missing
flute | Redmi Pad 2 Pro |  | Pad | public/devices/flute.webp | missing
organ | Redmi Pad 2 Pro 5G |  | Pad | public/devices/organ.webp | missing
guitar | Redmi Pad 2 SE |  | Pad | public/devices/guitar.webp | missing
erhu | Redmi Pad 2 SE 4G |  | Pad | public/devices/erhu.webp | missing
dizi | Redmi Pad Pro | POCO Pad | Pad | /devices/dizi.webp | verified
ruan | Redmi Pad Pro 5G | POCO Pad 5G | Pad | /devices/ruan.webp | verified
xun | Redmi Pad SE |  | Pad | /devices/xun.webp | verified
flare | Redmi Pad SE 8.7 WiFi |  | Pad | public/devices/flare.webp | missing
spark | Redmi Pad SE 8.7 4G |  | Pad | public/devices/spark.webp | missing
yunluo | Redmi Pad |  | Pad | /devices/yunluo.webp | verified

--- Merged Duplicate Codename Details ---
- rothko: Redmi K70 Ultra
- corot: Redmi K60 Ultra
- diting: Redmi K50 Ultra
- flame: Redmi 14R 5G
- miro: POCO F7 Ultra
- zorn: POCO F7 Pro
- vermeer: POCO F6 Pro
- mondrian: POCO F5 Pro
- fleur: POCO M4 Pro 4G

--- Variant Codename Groups ---
- star / mars: star, mars
- vayu / bhima: vayu, bhima
- camellian / camellia: camellian, camellia

--- Missing Image Codenames ---
- pandora
- popsicle
- mars
- mona
- yuechu
- odin
- zizhan
- charoite
- tanzanite
- obsidian
- evergo
- veux
- fleur
- xig02
- creek
- spring
- dew
- tornado
- arctic
- warm
- serenity
- jinghu
- enuma
- elish
- dagu
- yili
- taiko
- koto
- flute
- organ
- guitar
- erhu
- flare
- spark

--- Missing Image Names ---
- Xiaomi 17 Pro
- Xiaomi 17 Pro Max
- Xiaomi 11 Ultra
- Xiaomi Civi
- Xiaomi Civi 3
- Xiaomi MIX 4
- Xiaomi MIX Fold 2
- Redmi Note 15 Pro 4G
- Redmi Note 14 4G
- Redmi Note 14 Pro 4G
- Redmi Note 11 5G
- Redmi Note 11 Pro 5G
- Redmi Note 11S
- Redmi Note 10 JE
- Redmi 15 4G
- Redmi 15 5G
- Redmi 15C
- Redmi 15C 5G
- POCO C81
- POCO C75 5G
- POCO C71
- Xiaomi Pad 7 Ultra
- Xiaomi Pad 5 Pro 5G
- Xiaomi Pad 5 Pro Wi-Fi
- Xiaomi Pad 5 Pro 12.4
- Redmi K Pad 2
- Redmi Pad 2
- Redmi Pad 2 4G
- Redmi Pad 2 Pro
- Redmi Pad 2 Pro 5G
- Redmi Pad 2 SE
- Redmi Pad 2 SE 4G
- Redmi Pad SE 8.7 WiFi
- Redmi Pad SE 8.7 4G

--- Broken Image Files ---
- none

--- Unused Image Files ---
(files in public/devices/ not matching any supported device codename)
- placeholder.png (721.6 KB)
- poco-f3.webp (22.2 KB)
- poco-m6-plus-5g.webp (66.2 KB)
- poco-m7-5g.webp (63.5 KB)
- poco-x3-pro.webp (37.4 KB)
- poco-x6-pro.webp (45.9 KB)
- poco-x6.webp (33.1 KB)
- poco-x7.webp (25.5 KB)
- redmi-k70-pro.webp (38.9 KB)
- redmi-k70.webp (32.5 KB)
- redmi-k70e.webp (31.9 KB)
- redmi-note-12-turbo.webp (50.2 KB)
- redmi-note-13r.webp (28.4 KB)
- redmi-turbo-3.webp (78.7 KB)
- redmi-turbo-4.webp (27.3 KB)
- xiaomi-13t-pro.webp (25.8 KB)
- xiaomi-14-pro.webp (23.3 KB)
- xiaomi-14t.webp (19.4 KB)
- xiaomi-15-pro.webp (18.2 KB)
- xiaomi-15t-pro.webp (21.9 KB)
- xiaomi-17-ultra.webp (38.3 KB)
- xiaomi-17.webp (28.2 KB)
- xiaomi-mix-fold-4.webp (48.0 KB)
- xiaomi-pad-6s-pro-12-4.webp (14.1 KB)
- xiaomi-pad-8-pro.webp (28.7 KB)
- xiaomi-pad-8.webp (28.4 KB)

--- Missing Mapped Image Files ---
- none

--- Devices Without Codename ---
- none

